url,marque,id_variante,designation,reference,descriptif,atribute1,attribute_1_value,atribute2,attribute_2_value,atribute3,attribute_3_value,prix_promo_unit,ref_price_unit,qty_dgrsf_1,qty_dgrsf_2,prix_prom_dgrsf_1,prix_prom_dgrsf_2
https://www.megadental.fr/bloc-papier-antiderapant-100-feuilles-medistock.html,MEDISTOCK,34471,BLOC PAPIER ANTIDERAPANT 100 FEUILLES (MEDISTOCK),5302-008,, , , , , , ,5.45,8.85,1,,5.45,
https://www.megadental.fr/bloc-papier-antiderapant-100-feuilles-medistock.html,MEDISTOCK,34471,BLOC PAPIER ANTIDERAPANT 100 FEUILLES (MEDISTOCK),5302-008,, , , , , , ,14.05,14.05,1,,14.05,
https://www.megadental.fr/bac-de-decontamination-gamasonic.html,GAMASONIC,34396,Bac De Décontamination GAMASONIC),4637-005,Bac de pré-désinfection pour l'instrumentation conditionnée en vrac (ou petites cassettes de chirurgie)Caractéristiques techniques:• Version à encastrer dans un plan de travail• Capacité :13 17  27Litres• Couvercle inclus• Vidange : Robinet 1/4 tour, , , , , , ,448.82,448.82,1,,448.82,
https://www.megadental.fr/bac-de-decontamination-gamasonic.html,GAMASONIC,34396,Bac De Décontamination GAMASONIC),4637-005,Bac de pré-désinfection pour l'instrumentation conditionnée en vrac (ou petites cassettes de chirurgie)Caractéristiques techniques:• Version à encastrer dans un plan de travail• Capacité :13 17  27Litres• Couvercle inclus• Vidange : Robinet 1/4 tour, , , , , , ,348.5,348.5,1,,348.5,
https://www.megadental.fr/bac-de-decontamination-gamasonic.html,GAMASONIC,34396,Bac De Décontamination GAMASONIC),4637-005,Bac de pré-désinfection pour l'instrumentation conditionnée en vrac (ou petites cassettes de chirurgie)Caractéristiques techniques:• Version à encastrer dans un plan de travail• Capacité :13 17  27Litres• Couvercle inclus• Vidange : Robinet 1/4 tour, , , , , , ,507,507,1,,507,
https://www.megadental.fr/sachets-duo-check-crosstex.html,CROSSTEX ,37282,SACHETS DUO-CHECK (CROSSTEX),2320-001,"Sachets autocollants nylon/papier avec une face transparente et des
indicateurs interne et externe. Fermeture plus solide pour éviter la pénétration des instruments.Large bande adhésive autocollante : permet une fermeture sûre et garantit
la stérilité du contenu. 







La boîte de 200 sachets.",dimension_taille,7 x 22 cm,contenance,200 sachets, , ,21.4,22.2,1,3,22.2,21.4
https://www.megadental.fr/sachets-duo-check-crosstex.html,CROSSTEX ,37282,SACHETS DUO-CHECK (CROSSTEX),2320-001,"Sachets autocollants nylon/papier avec une face transparente et des
indicateurs interne et externe. Fermeture plus solide pour éviter la pénétration des instruments.Large bande adhésive autocollante : permet une fermeture sûre et garantit
la stérilité du contenu. 







La boîte de 200 sachets.",dimension_taille,6 x 10 cm,contenance,200 sachets, , ,19.5,20.9,1,3,20.9,19.5
https://www.megadental.fr/sachets-duo-check-crosstex.html,CROSSTEX ,37282,SACHETS DUO-CHECK (CROSSTEX),2320-001,"Sachets autocollants nylon/papier avec une face transparente et des
indicateurs interne et externe. Fermeture plus solide pour éviter la pénétration des instruments.Large bande adhésive autocollante : permet une fermeture sûre et garantit
la stérilité du contenu. 







La boîte de 200 sachets.",dimension_taille,13 x 25 cm,contenance,200 sachets, , ,34.9,36.75,1,2,36.75,34.9
https://www.megadental.fr/sachets-duo-check-crosstex.html,CROSSTEX ,37282,SACHETS DUO-CHECK (CROSSTEX),2320-001,"Sachets autocollants nylon/papier avec une face transparente et des
indicateurs interne et externe. Fermeture plus solide pour éviter la pénétration des instruments.Large bande adhésive autocollante : permet une fermeture sûre et garantit
la stérilité du contenu. 







La boîte de 200 sachets.",dimension_taille,19 x 33 cm,contenance,200 sachets, , ,57.9,60.9,1,3,60.9,57.9
https://www.megadental.fr/sachets-duo-check-crosstex.html,CROSSTEX ,37282,SACHETS DUO-CHECK (CROSSTEX),2320-001,"Sachets autocollants nylon/papier avec une face transparente et des
indicateurs interne et externe. Fermeture plus solide pour éviter la pénétration des instruments.Large bande adhésive autocollante : permet une fermeture sûre et garantit
la stérilité du contenu. 







La boîte de 200 sachets.",dimension_taille,9 x 23 cm,contenance,200 sachets, , ,24.9,26.15,1,3,26.15,24.9
